pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Kepler-424 b,Kepler-424,0.044,9.98,327.35,,5460.0,0.70795,4.9,G8V,0.00100,0.1,1.23,64.0,0.04989200,365.67448,0.12315624,365.67448,0.13908074,365.67448,0.17859923,365.67448,0.19159897,365.67448,0.17818838,368.35615
Kepler-425 b,Kepler-425,0.0464,10.962,79.45,K1 V,5170.0,0.47534,5.0,K1V,0.00100,0.1,1.23,30.1,0.67766483,220.78219,1.67278631,220.78219,1.88908306,220.78219,2.42584829,220.78219,2.60241900,220.78219,2.42584829,222.91409
Kepler-426 b,Kepler-426,0.0414,12.22,108.06,G1 V,5725.0,0.81470,6.0,G3V,0.00100,0.1,1.23,33.2,1.09257768,475.33448,2.69698075,475.33448,3.04570919,475.33448,3.91111888,475.33448,4.19579829,475.33448,3.99045176,489.65912
Kepler-427 b,Kepler-427,0.091,13.79,92.17,G2 V,5800.0,1.94984,7.0,G2V,0.00100,0.1,1.23,28.9,1.06905526,235.46004,2.63891667,235.46004,2.98013723,235.46004,3.82691526,235.46004,4.10546573,235.46004,3.96767872,246.47811
Kepler-428 b,Kepler-428,0.0433,12.11,403.63,K1 V,5150.0,0.40738,5.0,K1V,0.00100,0.1,1.23,64.5,0.03483847,217.28223,0.08599726,217.28223,0.09711698,217.28223,0.12471186,217.28223,0.13378929,217.28223,0.12471186,219.38033
Kepler-43 b,Kepler-43,0.046,13.663771,1026.5909,F8 V,6041.0,2.11836,0.69,F9V,0.00100,0.1,1.23,96.9,0.03564270,1001.11585,0.08798246,1001.11585,0.09935887,1001.11585,0.12759077,1001.11585,0.13687774,1001.11585,0.09122901,722.72246
Kepler-433 b,Kepler-433,0.0679,16.25,896.24,,6360.0,7.58578,2.67,F6V,0.00100,0.1,1.23,83.0,0.12928294,1645.35817,0.31912934,1645.35817,0.36039381,1645.35817,0.46279633,1645.35817,0.49648198,1645.35817,0.42731467,1533.88156
Kepler-434 b,Kepler-434,0.1143,12.67,908.96,,5977.0,2.13796,4.0,F9.5V,0.00100,0.1,1.23,94.7,0.00592539,163.64681,0.01462658,163.64681,0.01651784,163.64681,0.02121123,163.64681,0.02275514,163.64681,0.02065949,160.92921
Kepler-435 b,Kepler-435,0.0948,22.31,266.97,,6161.0,13.45860,2.25,F8V,0.00100,0.1,1.23,38.7,3.43183524,1497.55688,8.47133684,1497.55688,9.56670843,1497.55688,12.28499886,1497.55688,13.17918958,1497.55688,11.06169827,1361.45565
Kepler-44 b,Kepler-44,0.0446,12.22,317.82,G2 IV,5800.0,2.22551,5.8,G2V,0.00100,0.1,1.23,57.0,0.29729032,1118.82016,0.73384830,1118.82016,0.82873729,1118.82016,1.06421521,1118.82016,1.14167646,1118.82016,1.08185602,1148.34867
Kepler-447 b,Kepler-447,0.0769,18.49,435.41,G8 V,5493.0,0.64555,1.62,G8V,0.00100,0.1,1.23,54.3,0.05353781,109.16347,0.13215576,109.16347,0.14924393,109.16347,0.19165019,109.16347,0.20559988,109.16347,0.16363921,94.10851
Kepler-448 c,KOI-12,4.2,12.0,6992.26,,6635.0,4.23107,1.45,F4V,0.00100,0.1,1.23,269.9,0.00000012,0.23986,0.00000031,0.23986,0.00000035,0.23986,0.00000045,0.23986,0.00000048,0.23986,0.00000037,0.20277
Kepler-45 b,Kepler-45,0.03,10.76,160.497,M,3820.0,0.05300,0.5,M0V,0.00100,0.6,1.23,43.2,0.04188994,58.88945,0.25133967,143.14073,0.37247501,187.84028,0.67308627,264.33200,0.77197335,282.59712,0.20944972,83.04860
Kepler-450 b,Kepler-450,0.20092,6.14,19.4,,6197.21,3.58121,2.57,F8V,0.00100,0.1,1.23,19.9,0.80251772,88.71226,1.98098028,88.71226,2.23712751,88.71226,2.87278631,88.71226,3.08188839,88.71226,2.63808060,82.25113
Kepler-450 c,Kepler-450,0.13351,2.62,12.5,,6197.21,3.58121,2.57,F8V,0.00100,0.1,1.23,24.4,0.34013833,200.91040,0.83961675,200.91040,0.94818194,200.91040,1.21759895,200.91040,1.30622457,200.91040,1.11812151,186.27760
Kepler-450 d,Kepler-450,0.0827,0.837,17.6,,6197.21,3.58121,2.57,F8V,0.00100,0.1,1.23,51.3,0.01457939,523.62332,0.03598859,523.62332,0.04064203,523.62332,0.05219009,523.62332,0.05598886,523.62332,0.04792617,485.48655
Kepler-46 b,Kepler-46,0.1968,9.057,1907.0,,5155.0,0.55590,9.7,K1V,0.00100,0.1,1.23,162.2,0.00004313,14.35324,0.00010646,14.35324,0.00012023,14.35324,0.00015439,14.35324,0.00016563,14.35324,0.00016517,15.50375
Kepler-46 c,Kepler-46,0.2799,13.5,119.499,,5155.0,0.55590,9.7,K1V,0.00100,0.1,1.23,33.3,0.01798193,7.09568,0.04438761,7.09568,0.05012708,7.09568,0.06437022,7.09568,0.06905555,7.09568,0.06886497,7.66445
Kepler-48 b,Kepler-48,0.05394,1.88,3.94,,5194.0,0.51374,3.14,K1V,0.00100,0.1,1.23,16.2,1.11165119,176.57049,2.74406287,176.57049,3.09887918,176.57049,3.97939662,176.57049,4.26904578,176.57049,3.75742317,168.33115
Kepler-48 c,Kepler-48,0.08633,2.71,14.61,,5194.0,0.51374,3.14,K1V,0.00100,0.1,1.23,26.0,0.09453514,68.93131,0.23335591,68.93131,0.26352959,68.93131,0.33840905,68.93131,0.36304090,68.93131,0.31953236,65.71475
Kepler-48 d,Kepler-48,0.23302,2.04,7.93,,5194.0,0.51374,3.14,K1V,0.00100,0.1,1.23,22.0,0.01878742,9.46136,0.04637592,9.46136,0.05237248,9.46136,0.06725363,9.46136,0.07214884,9.46136,0.06350218,9.01986
Kepler-48 e,Kepler-48,1.898274748,13.4,657.0,,5194.0,0.51374,3.14,K1V,0.00100,0.1,1.23,78.3,0.00001169,0.14257,0.00002885,0.14257,0.00003258,0.14257,0.00004184,0.14257,0.00004489,0.14257,0.00003951,0.13592
Kepler-49 b,Kepler-49,0.05929,2.579,9.77,M1 V,4095.6,0.07400,2.88,K7V,0.00100,0.1,1.23,21.8,0.05564182,21.05073,0.13734942,21.05073,0.15510915,21.05073,0.19918196,21.05073,0.21367986,21.05073,0.18587305,19.83385
Kepler-49 c,Kepler-49,0.07821,2.444,8.38,M1 V,4095.6,0.07400,2.88,K7V,0.00100,0.1,1.23,20.7,0.03699051,12.09777,0.09130947,12.09777,0.10311609,12.09777,0.13241555,12.09777,0.14205371,12.09777,0.12356783,11.39844
Kepler-49 d,Kepler-49,0.031,1.6,235.982,M1 V,4252.0,0.07400,2.88,K6V,0.00100,0.1,1.23,135.8,0.00008331,77.00282,0.00020564,77.00282,0.00023223,77.00282,0.00029821,77.00282,0.00031992,77.00282,0.00027829,72.55152
Kepler-49 e,Kepler-49,0.116,1.56,1.03815,M1 V,4252.0,0.07400,2.88,K6V,0.00100,0.1,1.23,9.1,0.28492917,5.49938,0.70333534,5.49938,0.79427890,5.49938,1.01996579,5.49938,1.09420625,5.49938,0.95181385,5.18148
Kepler-5 b,Kepler-5,0.0538,15.984034,670.93913,,6297.0,4.49180,2.88,F7V,0.00100,0.1,1.23,72.4,0.20707025,1551.87040,0.51114395,1551.87040,0.57723654,1551.87040,0.74125289,1551.87040,0.79520661,1551.87040,0.69172395,1462.16151
Kepler-50 b,Kepler-50,0.077,1.71,8.9,,6225.0,3.43416,3.8,F8V,0.00100,0.1,1.23,25.5,0.53779429,579.21333,1.32752193,579.21333,1.49917486,579.21333,1.92515133,579.21333,2.06527772,579.21333,1.86319667,565.98622
Kepler-50 c,Kepler-50,0.087,2.17,8.2,,6225.0,3.43416,3.8,F8V,0.00100,0.1,1.23,21.7,1.01415026,453.71328,2.50338606,453.71328,2.82708207,453.71328,3.63037091,453.71328,3.89461546,453.71328,3.51353936,443.35214
Kepler-51 b,Kepler-51,0.2514,7.1,2.1,,6018.0,0.72161,0.3,F9.5V,0.00100,0.1,1.23,6.1,13.62935258,11.41746,33.64346728,11.41746,37.99367773,11.41746,48.78922474,11.41746,52.34045601,11.41746,26.86074290,6.34654
Kepler-51 c,Kepler-51,0.384,9.0,4.0,,6018.0,0.72161,0.3,F9.5V,0.00100,0.1,1.23,7.5,3.27955118,4.89370,8.09543024,4.89370,9.14219587,4.89370,11.73986503,4.89370,12.59437699,4.89370,6.46334305,2.72023
Kepler-51 d,Kepler-51,0.509,9.7,7.6,,6018.0,0.72161,0.3,F9.5V,0.00100,0.1,1.23,9.9,0.64732409,2.78525,1.59789152,2.78525,1.80450412,2.78525,2.31723703,2.78525,2.48590224,2.78525,1.27574702,1.54822
Kepler-52 b,Kepler-52,0.0637,2.1,135.0,M0 V,4075.0,0.10100,1.01,K7V,0.00100,0.1,1.23,89.6,0.00018604,24.89093,0.00045923,24.89093,0.00051861,24.89093,0.00066596,24.89093,0.00071444,24.89093,0.00051969,19.61159
Kepler-52 c,Kepler-52,0.10379,1.84,45.4,M0 V,4075.0,0.10100,1.01,K7V,0.00100,0.1,1.23,55.5,0.00041679,9.37581,0.00102883,9.37581,0.00116187,9.37581,0.00149200,9.37581,0.00160060,9.37581,0.00116431,7.38721
Kepler-52 d,Kepler-52,0.182,1.95,88.8775,M0 V,4263.0,0.10100,1.01,K6V,0.00100,0.1,1.23,75.5,0.00004210,3.04914,0.00010392,3.04914,0.00011736,3.04914,0.00015070,3.04914,0.00016167,3.04914,0.00011760,2.40242
Kepler-53 b,Kepler-53,0.1361,2.89,111.0,,5858.0,1.08538,0.3,G1V,0.00100,0.1,1.23,69.3,0.00168842,58.59543,0.00416779,58.59543,0.00470670,58.59543,0.00604407,58.59543,0.00648400,58.59543,0.00332754,32.57102
Kepler-53 c,Kepler-53,0.22091,3.17,36.0,,5858.0,1.08538,0.3,G1V,0.00100,0.1,1.23,37.7,0.00804065,22.24074,0.01984801,22.24074,0.02241442,22.24074,0.02878326,22.24074,0.03087832,22.24074,0.01584653,12.36280
Kepler-53 d,Kepler-53,0.091,2.12,37.1907,,6085.0,1.08538,0.3,F9V,0.00100,0.1,1.23,46.8,0.01328022,131.06816,0.03278166,131.06816,0.03702043,131.06816,0.04753944,131.06816,0.05099971,131.06816,0.02617268,72.85591
Kepler-539 b,Kepler-539,0.4988,8.373123,308.2951,G2 V,5820.0,0.87000,0.91,G1V,0.00100,0.1,1.23,67.8,0.00031766,3.49677,0.00078414,3.49677,0.00088553,3.49677,0.00113714,3.49677,0.00121991,3.49677,0.00086769,2.69397
Kepler-539 c,Kepler-539,2.42,13.3,762.792,G2 V,5820.0,0.87000,0.91,G1V,0.00100,0.1,1.23,84.7,0.00000883,0.14856,0.00002181,0.14856,0.00002463,0.14856,0.00003163,0.14856,0.00003393,0.14856,0.00002413,0.11445
Kepler-54 b,Kepler-54,0.0619,2.1,0.98,M1 V,3705.0,0.05000,4.83,M1V,0.00100,0.6,1.23,7.6,1.85081816,13.04934,11.10490894,31.71863,16.45701646,41.62363,29.73888617,58.57347,34.10800161,62.62085,29.50206301,58.66811
Kepler-54 c,Kepler-54,0.0809,1.23,0.7,M1 V,3705.0,0.05000,4.83,M1V,0.00100,0.6,1.23,8.4,0.42673821,7.63964,2.56042924,18.56943,3.79445040,24.36824,6.85681567,34.29140,7.86419097,36.66091,6.80221199,34.34681
Kepler-54 d,Kepler-54,0.126,1.53,12.0946,M1 V,4252.0,0.05000,4.83,K6V,0.00100,0.1,1.23,31.4,0.00113420,3.14941,0.00279972,3.14941,0.00316174,3.14941,0.00406011,3.14941,0.00435564,3.14941,0.00404410,3.16727
Kepler-549 b,Kepler-549,0.23236,2.57,11.0,,5360.0,0.49411,4.57,G9V,0.00100,0.1,1.23,23.1,0.01888342,9.15160,0.04661290,9.15160,0.05264010,9.15160,0.06759729,9.15160,0.07251751,9.15160,0.06689954,9.14460
Kepler-55 b,Kepler-55,0.1593,2.43,43.0,,4362.0,0.17249,2.34,K6V,0.00100,0.1,1.23,47.0,0.00077585,6.79717,0.00191516,6.79717,0.00216280,6.79717,0.00277734,6.79717,0.00297949,6.79717,0.00251558,6.21601
Kepler-55 c,Kepler-55,0.2095,2.21,69.8,,4362.0,0.17249,2.34,K6V,0.00100,0.1,1.23,62.8,0.00012806,3.92999,0.00031612,3.92999,0.00035700,3.92999,0.00045843,3.92999,0.00049180,3.92999,0.00041523,3.59398
Kepler-553 b,Kepler-553,0.04766,4.74139884,116.007368555,,5191.0,0.53599,8.8,K1V,0.00100,0.1,1.23,55.3,0.02748967,235.96735,0.06785707,235.96735,0.07663121,235.96735,0.09840525,235.96735,0.10556789,235.96735,0.10433133,252.59335
Kepler-553 c,Kepler-553,0.898,11.57887706,2129.4503269,,5191.0,0.53599,8.8,K1V,0.00100,0.1,1.23,151.6,0.00000335,0.66467,0.00000826,0.66467,0.00000933,0.66467,0.00001198,0.66467,0.00001285,0.66467,0.00001270,0.71150
Kepler-56 b,Kepler-56,0.1028,6.51,22.1,,4840.0,8.02694,3.5,K3V,0.00100,0.1,1.23,20.6,6.31090301,759.56295,15.57819108,759.56295,17.59250218,759.56295,22.59124660,759.56295,24.23560028,759.56295,21.63727267,734.51315
Kepler-56 c,Kepler-56,0.1652,9.8,181.0,,4840.0,8.02694,3.5,K3V,0.00100,0.1,1.23,48.0,0.12428546,294.12363,0.30679327,294.12363,0.34646264,294.12363,0.44490675,294.12363,0.47729027,294.12363,0.42611941,284.42366
Kepler-57 b,Kepler-57,0.05988,3.135,25.06,,5187.9,0.45456,3.31,K1V,0.00100,0.1,1.23,31.6,0.09148423,126.77290,0.22582486,126.77290,0.25502476,126.77290,0.32748765,126.77290,0.35132456,126.77290,0.31139007,121.70537
Kepler-57 c,Kepler-57,0.09588,2.196,6.86,,5187.9,0.45456,3.31,K1V,0.00100,0.1,1.23,19.8,0.16366358,49.44632,0.40399646,49.44632,0.45623453,49.44632,0.58586929,49.44632,0.62851308,49.44632,0.55707103,47.46979
Kepler-58 b,Kepler-58,0.09291,2.78,35.5,,5843.0,0.99033,2.14,G1V,0.00100,0.1,1.23,40.0,0.02876750,114.72421,0.07101132,114.72421,0.08019332,114.72421,0.10297950,114.72421,0.11047509,114.72421,0.09201644,103.50069
Kepler-58 c,Kepler-58,0.12307,2.86,53.0,,5843.0,0.99033,2.14,G1V,0.00100,0.1,1.23,48.1,0.00800924,65.38462,0.01977046,65.38462,0.02232685,65.38462,0.02867081,65.38462,0.03075768,65.38462,0.02561856,58.98801
Kepler-58 d,Kepler-58,0.236,2.94,245.343,,6099.0,0.99033,2.14,F9V,0.00100,0.1,1.23,102.1,0.00011041,17.78099,0.00027255,17.78099,0.00030779,17.78099,0.00039525,17.78099,0.00042402,17.78099,0.00035317,16.04147
Kepler-58 e,Kepler-58,0.0533,1.61,597.796,,6100.0,0.99033,2.14,F9V,0.00100,0.1,1.23,215.4,0.00005988,348.59855,0.00014781,348.59855,0.00016692,348.59855,0.00021435,348.59855,0.00022995,348.59855,0.00019153,314.49500
Kepler-59 b,Kepler-59,0.09943,1.1,4.1,,6074.0,2.10737,0.26,F9V,0.00100,0.1,1.23,21.6,0.24824744,213.15971,0.61278807,213.15971,0.69202357,213.15971,0.88865558,213.15971,0.95333833,213.15971,0.46119485,111.69393
Kepler-59 c,Kepler-59,0.13114,1.98,3.81,,6074.0,2.10737,0.26,F9V,0.00100,0.1,1.23,15.5,0.96379480,122.53768,2.37908576,122.53768,2.68670934,122.53768,3.45011259,122.53768,3.70123664,122.53768,1.79054091,64.20873
Kepler-595 b,Kepler-595,0.1582,3.708,17.4,,5138.5,0.44908,2.7,K1V,0.00100,0.1,1.23,24.2,0.04444235,17.94350,0.10970402,17.94350,0.12388911,17.94350,0.15909104,17.94350,0.17067084,17.94350,0.14712683,16.75432
Kepler-595 c,Kepler-595,0.0983,1.009,3.3,,5138.5,0.44908,2.7,K1V,0.00100,0.1,1.23,20.2,0.06448043,46.47431,0.15916714,46.47431,0.17974798,46.47431,0.23082168,46.47431,0.24762254,46.47431,0.21346307,43.39429
Kepler-6 b,Kepler-6,0.04852,14.616536,212.31044,,5647.0,1.54582,3.8,G5V,0.00100,0.1,1.23,42.6,0.66908056,656.62651,1.65159643,656.62651,1.86515325,656.62651,2.39511904,656.62651,2.56945306,656.62651,2.31804001,641.63157
Kepler-60 b,Kepler-60,0.07255,1.71,4.19,,5905.0,2.33916,8.91,G0V,0.00100,0.1,1.23,17.5,1.86172173,444.41137,4.59557956,444.41137,5.18980304,444.41137,6.66443688,444.41137,7.14952261,444.41137,7.07402412,476.27933
Kepler-60 c,Kepler-60,0.08422,1.9,3.85,,5905.0,2.33916,8.91,G0V,0.00100,0.1,1.23,15.9,2.24459601,329.78396,5.54068815,329.78396,6.25711727,329.78396,8.03501842,329.78396,8.61986495,329.78396,8.52883975,353.43218
Kepler-60 d,Kepler-60,0.10203,1.99,4.16,,5905.0,2.33916,8.91,G0V,0.00100,0.1,1.23,16.2,1.50503331,224.70060,3.71510962,224.70060,4.19548545,224.70060,5.38759327,224.70060,5.77974112,224.70060,5.71870744,240.81348
Kepler-62 b,Kepler-62,0.0553,1.31,9.0,K2 V,4925.0,0.20989,7.0,K3V,0.00100,0.1,1.23,29.3,0.02801870,68.63565,0.06916294,68.63565,0.07810593,68.63565,0.10029900,68.63565,0.10759949,68.63565,0.10398825,71.84737
Kepler-62 c,Kepler-62,0.0929,0.54,4.0,K2 V,4925.0,0.20989,7.0,K3V,0.00100,0.1,1.23,30.4,0.00352046,24.32028,0.00869010,24.32028,0.00981376,24.32028,0.01260224,24.32028,0.01351953,24.32028,0.01306579,25.45832
Kepler-62 d,Kepler-62,0.12,1.95,14.0,K2 V,4925.0,0.20989,7.0,K3V,0.00100,0.1,1.23,30.0,0.00811063,14.57597,0.02002074,14.57597,0.02260949,14.57597,0.02903376,14.57597,0.03114705,14.57597,0.03010169,15.25804
Kepler-62 e,Kepler-62,0.427,1.61,36.0,K2 V,4925.0,0.20989,7.0,K3V,0.00100,0.1,1.23,52.9,0.00005452,1.15118,0.00013459,1.15118,0.00015199,1.15118,0.00019518,1.15118,0.00020939,1.15118,0.00020236,1.20505
Kepler-62 f,Kepler-62,0.718,1.41,35.0,K2 V,4925.0,0.20989,7.0,K3V,0.00100,0.1,1.23,55.7,0.00001370,0.40715,0.00003383,0.40715,0.00003820,0.40715,0.00004906,0.40715,0.00005263,0.40715,0.00005086,0.42620
Kepler-63 b,Kepler-63,0.08,6.11,120.0,G5,5576.0,0.69663,0.21,G6V,0.00100,0.1,1.23,49.5,0.02536007,108.84789,0.06260024,108.84789,0.07069466,108.84789,0.09078188,108.84789,0.09738964,108.84789,0.04265781,51.64079
Kepler-643 b,Kepler-643,0.13485,10.16,321.0083,,4908.0,3.00732,12.02,K3V,0.00100,0.1,1.23,62.8,0.02475689,165.37814,0.06111130,165.37814,0.06901319,165.37814,0.08862264,165.37814,0.09507324,165.37814,0.09661965,182.04232
Kepler-65 b,Kepler-65,0.035,1.42,2.4,,6211.0,2.93359,2.9,F8V,0.00100,0.1,1.23,14.5,17.50958196,2394.77056,43.22164566,2394.77056,48.81034593,2394.77056,62.67934771,2394.77056,67.24160221,2394.77056,58.54714606,2258.49253
Kepler-65 c,Kepler-65,0.068,2.58,5.4,,6211.0,2.93359,2.9,F8V,0.00100,0.1,1.23,16.2,5.49570091,634.42776,13.56589997,634.42776,15.32001524,634.42776,19.67305382,634.42776,21.10500041,634.42776,18.37608714,598.32469
Kepler-65 d,Kepler-65,0.084,1.52,4.14,,6211.0,2.93359,2.9,F8V,0.00100,0.1,1.23,18.5,1.25297044,415.75878,3.09290334,415.75878,3.49282586,415.75878,4.48527956,415.75878,4.81175052,415.75878,4.18958280,392.09940
Kepler-65 e,Kepler-65,0.8539307544,13.9,260.0,,6220.0,2.93359,3.31,F8V,0.00100,0.1,1.23,48.4,0.00235083,4.02304,0.00580293,4.02304,0.00655327,4.02304,0.00841532,4.02304,0.00902784,4.02304,0.00800166,3.86223
Kepler-7 b,Kepler-7,0.06067,18.180998,140.16303,,5933.0,4.97038,2.9,G0V,0.00100,0.1,1.23,31.0,6.07571689,1350.33651,14.99764433,1350.33651,16.93688884,1350.33651,21.74934687,1350.33651,23.33242103,1350.33651,20.31549840,1273.49357
Kepler-725 c,Kepler-725,0.6744,3.08,9.7,,5395.0,0.48636,1.6,G9V,0.00100,0.1,1.23,19.8,0.00488431,1.06936,0.01205670,1.06936,0.01361567,1.06936,0.01748443,1.06936,0.01875708,1.06936,0.01489694,0.91991
Kepler-74 b,Kepler-74,0.0781,10.76,200.22,F8 V,6000.0,2.14833,0.8,F9.5V,0.00100,0.1,1.23,48.2,0.16098639,352.20696,0.39738793,352.20696,0.44877149,352.20696,0.57628570,352.20696,0.61823192,352.20696,0.42706619,263.52921
Kepler-75 b,Kepler-75,0.0818,11.77,3209.9,K0 V,5200.0,0.60972,6.2,K1V,0.00100,0.1,1.23,184.6,0.00021210,91.12203,0.00052356,91.12203,0.00059126,91.12203,0.00075926,91.12203,0.00081452,91.12203,0.00077736,94.19548
Kepler-76 b,Kepler-76,0.0274,15.24424,638.8383,F,6409.0,2.82592,0.62,F6V,0.00100,0.1,1.23,72.4,0.48057772,3764.08025,1.18628531,3764.08025,1.33967589,3764.08025,1.72033222,3764.08025,1.84555039,3764.08025,1.19668191,2643.61838
Kepler-77 b,Kepler-77,0.04501,10.761,136.661,G5 V,5520.0,0.89950,7.5,G7V,0.00100,0.1,1.23,39.8,0.43573254,443.99898,1.07558693,443.99898,1.21466384,443.99898,1.55979918,443.99898,1.67333260,443.99898,1.62839809,468.00162
Kepler-79 b,Kepler-79,0.117,3.47,10.9,,6174.0,2.19786,3.44,F8V,0.00100,0.1,1.23,19.8,0.83048735,160.55664,2.05002210,160.55664,2.31509667,160.55664,2.97290966,160.55664,3.18929944,160.55664,2.84101909,154.91526
Kepler-79 c,Kepler-79,0.187,3.72,5.9,,6174.0,2.19786,3.44,F8V,0.00100,0.1,1.23,14.1,1.36713342,62.85166,3.37470971,62.85166,3.81107072,62.85166,4.89395070,62.85166,5.25016769,62.85166,4.67683481,60.64328
Kepler-79 d,Kepler-79,0.287,7.16,6.0,,6174.0,2.19786,3.44,F8V,0.00100,0.1,1.23,10.2,4.00167753,26.68310,9.87796789,26.68310,11.15522148,26.68310,14.32487299,26.68310,15.36754044,26.68310,13.68936236,25.74555
Kepler-79 e,Kepler-79,0.386,3.49,4.1,,6174.0,2.19786,3.44,F8V,0.00100,0.1,1.23,12.1,0.54865997,14.75113,1.35434340,14.75113,1.52946444,14.75113,1.96404740,14.75113,2.10700492,14.75113,1.87691414,14.23283
Kepler-8 b,Kepler-8,0.0474,15.871944,187.5197,,6213.0,4.02717,3.47,F8V,0.00100,0.1,1.23,38.4,2.99784519,1792.43459,7.40005117,1792.43459,8.35690201,1792.43459,10.73143730,1792.43459,11.51254862,1792.43459,10.26687140,1731.39848
Kepler-80 b,Kepler-80,0.0648,2.67,6.93,K5,4540.0,0.17000,2.0,K4V,0.00100,0.1,1.23,18.0,0.23601338,40.48554,0.58258881,40.48554,0.65791945,40.48554,0.84486109,40.48554,0.90635617,40.48554,0.74696321,36.13994
Kepler-80 c,Kepler-80,0.0792,2.74,6.74,K5,4540.0,0.17000,2.0,K4V,0.00100,0.1,1.23,17.5,0.18050983,27.10189,0.44558070,27.10189,0.50319574,27.10189,0.64617409,27.10189,0.69320729,27.10189,0.57129897,24.19285
Kepler-80 d,Kepler-80,0.0372,1.53,6.75,K5,4540.0,0.17000,2.0,K4V,0.00100,0.1,1.23,23.5,0.14203657,122.84688,0.35061113,122.84688,0.39594630,122.84688,0.50845073,122.84688,0.54545944,122.84688,0.44953424,109.66082
